,full_name,company,selling_price,year,km_driven,owner_type,fuel_type,transmission_type
12659,Hyundai Grand i10,Hyundai,350000,2015,147000,First Owner,Diesel,Manual
12661,Honda City ZX,Honda,1075000,2018,26000,First Owner,Petrol,Automatic
12663,Chevrolet Beat Diesel,Chevrolet,190000,2012,65000,First Owner,Diesel,Manual
12664,Maruti Swift Dzire,Maruti,325000,2013,78000,First Owner,Diesel,Manual
12665,Hyundai i20 Sportz,Hyundai,500000,2014,50000,First Owner,Diesel,Manual
12666,Mahindra XUV500 W8,Mahindra,600000,2013,50000,First Owner,Diesel,Manual
12667,Maruti Wagon R,Maruti,150000,2010,60000,First Owner,Petrol,Manual
12668,Maruti Wagon R,Maruti,210000,2011,52000,First Owner,CNG,Manual
12669,Honda City 1.5,Honda,495000,2013,35000,First Owner,Petrol,Manual
12670,Toyota Corolla Altis,Toyota,1175000,2017,360101,First Owner,Diesel,Manual
12671,Mercedes-Benz C-Class C,Mercedes-Benz,3650000,2018,8000,First Owner,Petrol,Automatic
12672,Chevrolet Enjoy Petrol,Chevrolet,330000,2013,48000,First Owner,Petrol,Manual
12673,Hyundai Verna 1.6,Hyundai,760000,2017,62000,First Owner,Diesel,Manual
12675,Hyundai i20 Era,Hyundai,340000,2014,70000,First Owner,Diesel,Manual
12676,Toyota Fortuner 2016-2021,Toyota,3090000,2019,15500,First Owner,Diesel,Manual
12677,Hyundai Verna VTVT,Hyundai,940000,2018,43000,First Owner,Petrol,Manual
12678,Chevrolet Spark 1.0,Chevrolet,95000,2009,75000,First Owner,Petrol,Manual
12679,Toyota Innova Crysta,Toyota,1590000,2017,51000,First Owner,Diesel,Automatic
12681,Renault KWID RXT,Renault,335000,2018,33124,First Owner,Petrol,Manual
12683,Maruti Swift VDI,Maruti,378000,2014,73956,First Owner,Diesel,Manual
12684,Maruti Wagon R,Maruti,265000,2014,64000,First Owner,Petrol,Manual
12685,Maruti Alto 800,Maruti,275000,2015,15000,First Owner,Petrol,Manual
12686,Hyundai i10 Era,Hyundai,235000,2012,73500,First Owner,Petrol,Manual
12687,Maruti Ciaz ZXi,Maruti,626000,2014,49000,First Owner,Petrol,Manual
12688,Maruti Ignis 1.2,Maruti,465000,2017,32000,First Owner,Petrol,Manual
12689,Honda City i,Honda,725000,2017,35000,First Owner,Petrol,Manual
12690,Hyundai i20 Era,Hyundai,290000,2013,80849,First Owner,Diesel,Manual
12691,Maruti Baleno Alpha,Maruti,675000,2017,24000,First Owner,Petrol,Manual
12692,Tata Tiago 1.2,Tata,480000,2017,30000,First Owner,Petrol,Automatic
12693,Mercedes-Benz M-Class ML,Mercedes-Benz,2899000,2015,46000,First Owner,Diesel,Automatic
12694,Honda City i,Honda,610000,2015,71678,First Owner,Diesel,Manual
12695,Maruti Swift VXI,Maruti,465000,2016,65000,First Owner,Petrol,Manual
12696,Maruti Vitara Brezza,Maruti,685000,2016,60000,First Owner,Diesel,Manual
12697,Maruti Swift VXI,Maruti,385000,2013,30500,First Owner,Petrol,Manual
12698,Maruti Wagon R,Maruti,390000,2017,47000,First Owner,Petrol,Automatic
12699,Volkswagen Vento 1.5,Volkswagen,400000,2014,76500,First Owner,Diesel,Manual
12700,Nissan Micra Diesel,Nissan,240000,2013,80000,First Owner,Diesel,Manual
12701,Jeep Compass 1.4,Jeep,1430000,2019,29000,First Owner,Petrol,Manual
12702,Ford Ecosport 2015-2021,Ford,675000,2016,37000,First Owner,Petrol,Manual
12703,Honda New Accord,Honda,335000,2008,80000,First Owner,Petrol,Manual
12704,Honda City i,Honda,745000,2017,56239,First Owner,Petrol,Manual
12705,Honda Amaze S,Honda,715000,2020,3000,First Owner,Petrol,Manual
12706,Audi A4 35,Audi,1800000,2015,30000,First Owner,Diesel,Automatic
12707,Toyota Innova Crysta,Toyota,2225000,2019,27000,First Owner,Diesel,Automatic
12708,Audi A6 2.0,Audi,1725000,2014,50500,First Owner,Diesel,Automatic
12709,Hyundai Creta 1.6,Hyundai,835000,2015,65000,First Owner,Diesel,Automatic
12711,Ford Ecosport 2015-2021,Ford,925000,2019,16000,First Owner,Petrol,Manual
12712,Maruti Swift Dzire,Maruti,650000,2017,25000,First Owner,Diesel,Manual
12714,Hyundai Creta 1.4,Hyundai,875000,2018,60000,First Owner,Diesel,Manual
12715,Maruti Ertiga SHVS,Maruti,725000,2017,44000,First Owner,Diesel,Manual
12716,Mercedes-Benz C-Class C,Mercedes-Benz,780000,2012,67000,First Owner,Petrol,Automatic
12717,Maruti SX4 Vxi,Maruti,185000,2008,71000,First Owner,Petrol,Manual
12718,Honda City i,Honda,549000,2015,89000,First Owner,Diesel,Manual
12720,Mahindra Xylo E4,Mahindra,310000,2011,72000,First Owner,Diesel,Manual
12721,Maruti Ciaz ZXi,Maruti,750000,2017,29000,First Owner,Petrol,Manual
12722,Volkswagen Vento 1.5,Volkswagen,950000,2018,58000,First Owner,Diesel,Automatic
12723,Toyota Etios Liva,Toyota,509999,2018,49000,First Owner,Petrol,Manual
12724,Maruti Baleno Delta,Maruti,540000,2017,33528,First Owner,Petrol,Manual
12725,Hyundai Xcent 1.2,Hyundai,390000,2015,61000,First Owner,Petrol,Manual
12726,Maruti Swift LXI,Maruti,488999,2017,43733,First Owner,Petrol,Manual
12727,Maruti Baleno Zeta,Maruti,781000,2019,10000,First Owner,Petrol,Automatic
12728,Hyundai i20 Sportz,Hyundai,349000,2013,65001,First Owner,Diesel,Manual
12729,Maruti Swift Dzire,Maruti,350000,2012,90000,First Owner,Petrol,Manual
12730,MG Hector Sharp,MG,1748999,2019,14400,First Owner,Petrol,Automatic
12732,Honda City i-VTEC,Honda,880000,2017,53000,First Owner,Petrol,Manual
12733,Honda Amaze SX,Honda,600000,2017,51000,First Owner,Petrol,Manual
12734,Maruti Baleno Alpha,Maruti,515000,2015,84999,First Owner,Diesel,Manual
12735,BMW 5 Series,BMW,3250000,2017,46000,First Owner,Diesel,Automatic
12736,Audi A4 2.0,Audi,1450000,2014,85000,First Owner,Diesel,Automatic
12737,Maruti Swift AMT,Maruti,450000,2015,50000,First Owner,Petrol,Automatic
12738,Honda City i,Honda,575000,2015,63000,First Owner,Diesel,Manual
12739,Hyundai Santro Xing,Hyundai,93750,2007,78222,First Owner,Petrol,Manual
12741,Chevrolet Beat LT,Chevrolet,175000,2010,57000,First Owner,Petrol,Manual
12742,Maruti Baleno Zeta,Maruti,585000,2016,27000,First Owner,Petrol,Manual
12743,Maruti Swift LXi,Maruti,240000,2010,68000,First Owner,Petrol,Manual
12744,Hyundai Verna VTVT,Hyundai,930000,2018,8143,First Owner,Petrol,Manual
12746,MG Hector Sharp,MG,1875000,2019,4000,First Owner,Petrol,Automatic
12747,Hyundai Creta 1.6,Hyundai,770000,2016,58500,First Owner,Diesel,Manual
12748,Hyundai Santro Xing,Hyundai,90000,2008,82082,First Owner,Petrol,Manual
12749,Maruti Swift Dzire,Maruti,475000,2015,65000,First Owner,Diesel,Manual
12750,Maruti Swift VDI,Maruti,353000,2013,99426,First Owner,Diesel,Manual
12751,Toyota Etios G,Toyota,272000,2011,62000,First Owner,Petrol,Manual
12753,Toyota Innova Crysta,Toyota,1680000,2016,48000,First Owner,Diesel,Automatic
12754,Ford Figo 1.5D,Ford,395000,2015,75000,First Owner,Diesel,Manual
12755,Maruti Ciaz Alpha,Maruti,700000,2018,37000,First Owner,Petrol,Manual
12756,Honda Brio 1.2,Honda,390000,2015,39000,First Owner,Petrol,Manual
12757,Honda Amaze VX,Honda,725000,2018,40000,First Owner,Diesel,Manual
12759,Maruti Wagon R,Maruti,310000,2015,52000,First Owner,Petrol,Manual
12760,Hyundai EON D,Hyundai,150000,2013,111000,First Owner,Petrol,Manual
12761,Honda City i,Honda,550000,2014,78000,First Owner,Diesel,Manual
12762,Toyota Innova 2.5,Toyota,894999,2015,125000,First Owner,Diesel,Manual
12763,Hyundai EON Era,Hyundai,225000,2012,51025,First Owner,Petrol,Manual
12764,Honda WR-V i-VTEC,Honda,760000,2017,25656,First Owner,Petrol,Manual
12765,Honda City 1.5,Honda,440000,2012,134532,First Owner,Petrol,Automatic
12766,Maruti Baleno Delta,Maruti,599000,2018,48000,First Owner,Diesel,Manual
12767,Honda City i,Honda,620000,2015,50000,First Owner,Petrol,Manual
12769,Hyundai Creta 1.6,Hyundai,800000,2015,76000,First Owner,Diesel,Manual
12770,Maruti Baleno Zeta,Maruti,625000,2017,25000,First Owner,Petrol,Manual
12771,Honda City i,Honda,540000,2015,73000,First Owner,Diesel,Manual
12772,Mercedes-Benz C-Class C,Mercedes-Benz,1295000,2014,69550,First Owner,Diesel,Automatic
12773,Maruti Ciaz VXi,Maruti,603000,2016,28014,First Owner,Petrol,Manual
12774,Hyundai Venue SX,Hyundai,1075000,2020,1200,First Owner,Petrol,Manual
12775,Hyundai Verna 1.6,Hyundai,625000,2016,33060,First Owner,Petrol,Manual
12776,Toyota Corolla Altis,Toyota,525000,2012,65000,First Owner,Diesel,Manual
12777,Honda New Accord,Honda,670000,2012,76003,First Owner,Petrol,Manual
12778,Maruti Swift Dzire,Maruti,610000,2017,25000,First Owner,Petrol,Automatic
12779,Nissan Terrano XV,Nissan,399000,2014,65000,First Owner,Diesel,Manual
12781,Maruti Swift LDI,Maruti,310000,2014,60001,First Owner,Diesel,Manual
12783,Chevrolet Beat Diesel,Chevrolet,180000,2013,70001,First Owner,Diesel,Manual
12784,Maruti Swift Dzire,Maruti,599000,2017,37001,First Owner,Petrol,Manual
12786,Toyota Innova Crysta,Toyota,1630999,2017,68745,First Owner,Diesel,Manual
12787,Hyundai Creta 1.6,Hyundai,890000,2015,70000,First Owner,Diesel,Manual
12788,Honda Amaze EX,Honda,350000,2014,71000,First Owner,Diesel,Manual
12789,Skoda Rapid 1.5,Skoda,515000,2015,52000,First Owner,Diesel,Manual
12790,Maruti Baleno Zeta,Maruti,650000,2016,43000,First Owner,Petrol,Manual
12791,Mahindra XUV500 AT,Mahindra,1175000,2017,34000,First Owner,Diesel,Automatic
12792,Maruti Swift VXI,Maruti,245000,2010,68000,First Owner,Petrol,Manual
12793,Ford Ecosport 2015-2021,Ford,525000,2016,143000,First Owner,Diesel,Manual
12794,Mahindra XUV500 W8,Mahindra,650000,2013,47000,First Owner,Diesel,Manual
12795,Maruti Wagon R,Maruti,285000,2013,40000,First Owner,Petrol,Manual
12796,Honda City V,Honda,350000,2010,57000,First Owner,Petrol,Automatic
12797,Maruti Swift VDI,Maruti,330000,2013,65209,First Owner,Diesel,Manual
12799,Ford Ecosport 2015-2021,Ford,560000,2015,50000,First Owner,Diesel,Manual
12800,Maruti Wagon R,Maruti,270000,2013,64000,First Owner,CNG,Manual
12801,Hyundai Grand i10,Hyundai,515000,2019,16415,First Owner,Petrol,Manual
12802,Honda City i-VTEC,Honda,900000,2018,12000,First Owner,Petrol,Manual
12803,Nissan Micra Active,Nissan,295000,2015,50000,First Owner,Petrol,Manual
12804,Volkswagen Polo 2015-2019,Volkswagen,450000,2016,45000,First Owner,Petrol,Manual
12805,Hyundai Grand i10,Hyundai,450000,2016,63000,First Owner,Petrol,Manual
12806,BMW 3 Series,BMW,844999,2012,50000,First Owner,Diesel,Automatic
12807,Maruti Wagon R,Maruti,70000,2007,30000,First Owner,Petrol,Manual
12808,Toyota Corolla Altis,Toyota,1310000,2016,11000,First Owner,Diesel,Manual
12809,Mahindra TUV 300,Mahindra,549000,2015,44000,First Owner,Diesel,Manual
12811,Honda Brio S,Honda,298000,2013,65000,First Owner,Petrol,Manual
12812,Maruti Ciaz VXi,Maruti,565000,2015,52000,First Owner,Petrol,Manual
12813,Hyundai Verna 1.6,Hyundai,420000,2012,62000,First Owner,Petrol,Manual
12814,Toyota Fortuner 4x2,Toyota,1689999,2014,61000,First Owner,Diesel,Automatic
12815,Honda WR-V i-VTEC,Honda,765000,2017,35000,First Owner,Petrol,Manual
12816,Hyundai i10 Magna,Hyundai,240000,2012,73500,First Owner,Petrol,Manual
12817,Maruti Swift VXi,Maruti,170000,2008,63248,First Owner,Petrol,Manual
12819,Maruti Ciaz VXi,Maruti,585000,2015,49098,First Owner,Petrol,Manual
12820,Mahindra Quanto C6,Mahindra,490000,2012,35000,First Owner,Diesel,Manual
12821,Volkswagen Polo Diesel,Volkswagen,210000,2012,90000,First Owner,Diesel,Manual
12822,Maruti Swift Dzire,Maruti,675000,2017,59000,First Owner,Diesel,Automatic
12823,Honda Amaze V,Honda,675000,2019,45000,First Owner,Petrol,Automatic
12824,Maruti Ciaz ZDi,Maruti,495000,2014,47000,First Owner,Diesel,Manual
12825,Skoda Rapid 1.6,Skoda,325000,2013,42000,First Owner,Petrol,Manual
12826,Maruti Ciaz VDI,Maruti,509999,2015,56000,First Owner,Diesel,Manual
12827,Toyota Innova 2.5,Toyota,865000,2015,47000,First Owner,Diesel,Manual
12828,Mercedes-Benz E-Class E,Mercedes-Benz,4450000,2018,22000,First Owner,Diesel,Automatic
12829,Mahindra Marazzo M2,Mahindra,800000,2019,25000,First Owner,Diesel,Manual
12830,Ford Aspire 1.5,Ford,590000,2018,59012,First Owner,Diesel,Manual
12831,Maruti Swift Dzire,Maruti,675000,2017,10000,First Owner,Petrol,Manual
12832,BMW X3 xDrive20d,BMW,1275000,2012,88000,First Owner,Diesel,Automatic
12833,Maruti SX4 ZXI,Maruti,250000,2010,107543,First Owner,Petrol,Manual
12834,Toyota Etios GD,Toyota,334000,2012,52285,First Owner,Diesel,Manual
12835,Hyundai i20 1.2,Hyundai,545000,2016,62000,First Owner,Petrol,Manual
12836,Maruti Celerio VXI,Maruti,385000,2015,63000,First Owner,Petrol,Manual
12837,Honda Civic 1.8,Honda,310000,2010,45000,First Owner,Petrol,Manual
12838,Maruti Eeco 7,Maruti,390000,2019,17000,First Owner,Petrol,Manual
12839,Hyundai Santro Xing,Hyundai,140000,2010,42000,First Owner,Petrol,Manual
12840,Hyundai i20 1.4,Hyundai,365000,2014,63000,First Owner,Diesel,Manual
12841,BMW 3 Series,BMW,1400000,2014,18500,First Owner,Diesel,Automatic
12842,BMW 3 Series,BMW,610000,2011,72000,First Owner,Diesel,Automatic
12843,Honda Jazz 1.2,Honda,630000,2016,40000,First Owner,Petrol,Automatic
12844,Maruti SX4 S,Maruti,815000,2017,49189,First Owner,Diesel,Manual
12845,Toyota Innova 2.5,Toyota,990000,2015,35000,First Owner,Diesel,Manual
12846,Honda City i,Honda,750000,2016,55000,First Owner,Petrol,Automatic
12847,Maruti Swift LXI,Maruti,450000,2016,20000,First Owner,Petrol,Manual
12848,Honda City V,Honda,790000,2017,33000,First Owner,Petrol,Manual
12849,Mahindra XUV500 W4,Mahindra,785000,2016,70066,First Owner,Diesel,Manual
12850,Maruti Vitara Brezza,Maruti,690000,2016,58000,First Owner,Diesel,Manual
12852,Skoda Laura Ambiente,Skoda,450000,2012,59999,First Owner,Diesel,Automatic
12853,Maruti Wagon R,Maruti,235000,2012,62443,First Owner,Petrol,Manual
12854,Hyundai i20 Magna,Hyundai,350000,2015,60000,First Owner,Diesel,Manual
12855,Mahindra Scorpio S6,Mahindra,975000,2016,55000,First Owner,Diesel,Manual
12856,Hyundai i10 Magna,Hyundai,165000,2010,60000,First Owner,Petrol,Manual
12857,Maruti Alto LXI,Maruti,80000,2007,40000,First Owner,Petrol,Manual
12858,Nissan Sunny Diesel,Nissan,311000,2014,113000,First Owner,Diesel,Manual
12859,Mahindra KUV 100,Mahindra,400000,2016,68000,First Owner,Diesel,Manual
12860,Honda Amaze S,Honda,369000,2014,45892,First Owner,Diesel,Manual
12861,Renault Fluence Diesel,Renault,325000,2012,70000,First Owner,Diesel,Manual
12862,MG Hector Sharp,MG,1795000,2020,20000,First Owner,Diesel,Manual
12863,Honda City i,Honda,621000,2015,35000,First Owner,Diesel,Manual
12864,Maruti Swift Dzire,Maruti,175000,2009,145000,First Owner,Petrol,Manual
12865,Audi A4 35,Audi,1349000,2013,33000,First Owner,Diesel,Automatic
12866,Hyundai Xcent 1.2,Hyundai,360000,2016,52000,First Owner,Petrol,Manual
12867,Hyundai Grand i10,Hyundai,570000,2019,25000,First Owner,Petrol,Automatic
12868,Mahindra XUV500 W10,Mahindra,925000,2015,57000,First Owner,Diesel,Manual
12869,Honda Amaze VX,Honda,375000,2014,87000,First Owner,Diesel,Manual
12870,Hyundai Grand i10,Hyundai,479000,2018,15800,First Owner,Petrol,Automatic
12871,Honda Brio E,Honda,245000,2012,47316,First Owner,Petrol,Manual
12872,Mahindra XUV500 W4,Mahindra,925000,2017,56000,First Owner,Diesel,Manual
12873,Renault KWID 1.0,Renault,225000,2016,45000,First Owner,Petrol,Manual
12875,Ford Figo Diesel,Ford,250000,2013,30000,First Owner,Diesel,Manual
12876,Hyundai i20 Petrol,Hyundai,550000,2018,25000,First Owner,Petrol,Manual
12877,Hyundai Grand i10,Hyundai,520000,2018,36000,First Owner,Petrol,Manual
12878,Hyundai i20 2015-2017,Hyundai,549000,2016,22000,First Owner,Petrol,Manual
12879,Mercedes-Benz GLA Class,Mercedes-Benz,1490000,2015,85000,First Owner,Diesel,Automatic
12880,BMW 3 Series,BMW,2525000,2016,41000,First Owner,Diesel,Automatic
12881,Honda Brio S,Honda,325000,2013,27890,First Owner,Petrol,Manual
12882,BMW X1 sDrive,BMW,3200000,2019,10000,First Owner,Diesel,Automatic
12883,Toyota Corolla Altis,Toyota,490000,2012,91000,First Owner,Diesel,Manual
12885,Toyota Fortuner 4x2,Toyota,1300000,2013,60000,First Owner,Diesel,Automatic
12886,Mahindra Thar CRDe,Mahindra,835000,2018,22000,First Owner,Diesel,Manual
12887,Maruti Ertiga VXI,Maruti,725000,2017,2100,First Owner,Petrol,Manual
12888,Audi Q3 35,Audi,1500000,2015,40000,First Owner,Diesel,Automatic
12889,Mahindra Scorpio VLS,Mahindra,449000,2011,65001,First Owner,Diesel,Manual
12890,Maruti Zen Estilo,Maruti,88000,2007,70500,First Owner,Petrol,Manual
12891,Hyundai Verna 1.6,Hyundai,665000,2015,52323,First Owner,Diesel,Automatic
12892,Honda Amaze S,Honda,500000,2016,15000,First Owner,Petrol,Manual
12893,Mercedes-Benz E-Class E250,Mercedes-Benz,1575000,2014,42005,First Owner,Diesel,Automatic
12894,Maruti Swift Dzire,Maruti,310000,2014,80000,First Owner,Petrol,Manual
12895,Maruti Ritz LXi,Maruti,265000,2012,54000,First Owner,Petrol,Manual
12896,Volkswagen Polo 1.2,Volkswagen,390000,2015,52752,First Owner,Petrol,Manual
12897,Maruti Swift Dzire,Maruti,625000,2018,40000,First Owner,Petrol,Automatic
12898,Hyundai Verna 1.6,Hyundai,650000,2014,89000,First Owner,Diesel,Manual
12899,Maruti Swift LDI,Maruti,409999,2016,55000,First Owner,Diesel,Manual
12900,Maruti Swift Dzire,Maruti,459999,2015,57000,First Owner,Petrol,Manual
12901,Honda City 2017-2020,Honda,165000,2007,42000,First Owner,Petrol,Manual
12902,Ford Ecosport 2015-2021,Ford,650000,2015,42000,First Owner,Petrol,Automatic
12903,Datsun GO T,Datsun,250000,2015,45000,First Owner,Petrol,Manual
12904,Maruti Wagon R,Maruti,340000,2016,77950,First Owner,CNG,Manual
12905,Chevrolet Optra Magnum,Chevrolet,195000,2008,136000,First Owner,Diesel,Manual
12906,Honda City i,Honda,1090000,2019,16000,First Owner,Petrol,Manual
12907,Mahindra Thar 4X4,Mahindra,750000,2015,64000,First Owner,Diesel,Manual
12908,BMW 5 Series,BMW,1350000,2012,69000,First Owner,Diesel,Automatic
12909,Toyota Fortuner 4x2,Toyota,1680000,2014,61000,First Owner,Diesel,Automatic
12910,Maruti Swift Dzire,Maruti,420000,2014,45000,First Owner,Petrol,Manual
12911,Hyundai i20 Sportz,Hyundai,484999,2015,48300,First Owner,Diesel,Manual
12912,Maruti Ciaz ZDi,Maruti,700000,2017,47000,First Owner,Diesel,Manual
12913,Maruti Swift Dzire,Maruti,745000,2018,9313,First Owner,Petrol,Automatic
12914,Honda City S,Honda,350000,2011,58568,First Owner,Petrol,Manual
12915,Honda Amaze V,Honda,800000,2019,68000,First Owner,Diesel,Automatic
12916,Honda Civic 1.8,Honda,400000,2011,70000,First Owner,Petrol,Manual
12917,Maruti Swift VDI,Maruti,350000,2013,50000,First Owner,Diesel,Manual
12918,Maruti Ritz VDi,Maruti,301000,2014,56500,First Owner,Diesel,Manual
12919,Maruti Ertiga VXI,Maruti,425000,2012,70000,First Owner,Petrol,Manual
12920,Volkswagen Polo 2015-2019,Volkswagen,465000,2015,65869,First Owner,Petrol,Manual
12921,Honda City i,Honda,660000,2016,50000,First Owner,Petrol,Manual
12922,Maruti Wagon R,Maruti,245000,2014,51000,First Owner,CNG,Manual
12923,Maruti Swift Dzire,Maruti,210000,2009,68000,First Owner,Petrol,Manual
12924,Honda City i,Honda,575000,2015,63000,First Owner,Diesel,Manual
12925,Hyundai Grand i10,Hyundai,450000,2017,32891,First Owner,Petrol,Manual
12926,Mahindra Scorpio 1.99,Mahindra,960000,2016,51000,First Owner,Diesel,Manual
12928,Toyota Etios Liva,Toyota,440000,2015,61000,First Owner,Diesel,Manual
12929,Hyundai Creta 1.6,Hyundai,825000,2016,72000,First Owner,Diesel,Manual
12930,Maruti Baleno Delta,Maruti,550000,2017,23000,First Owner,Petrol,Manual
12931,Renault Duster 110PS,Renault,415000,2013,58000,First Owner,Diesel,Manual
12932,Jaguar XF 2.2,Jaguar,1750000,2013,66000,First Owner,Diesel,Automatic
12933,Honda City 1.3,Honda,90000,2006,57526,First Owner,Petrol,Manual
12934,Toyota Innova Crysta,Toyota,1789999,2018,48000,First Owner,Petrol,Automatic
12935,Maruti Zen Estilo,Maruti,140000,2008,63000,First Owner,Petrol,Manual
12936,Mercedes-Benz M-Class ML,Mercedes-Benz,2450000,2014,64000,First Owner,Diesel,Automatic
12937,BMW 3 Series,BMW,565000,2009,74000,First Owner,Petrol,Automatic
12938,Maruti Swift VXI,Maruti,575000,2020,35000,First Owner,Petrol,Manual
12939,Toyota Corolla Altis,Toyota,475000,2012,73001,First Owner,Petrol,Manual
12940,Honda City 1.5,Honda,349000,2011,39000,First Owner,Petrol,Manual
12941,Mahindra XUV500 W6,Mahindra,790000,2015,58000,First Owner,Diesel,Manual
12942,Ford Figo Diesel,Ford,245000,2013,76091,First Owner,Diesel,Manual
12943,Maruti Alto 800,Maruti,295000,2016,30265,First Owner,CNG,Manual
12944,Toyota Innova 2.5,Toyota,650000,2012,39000,First Owner,Diesel,Manual
12945,Honda Jazz X,Honda,325000,2012,40383,First Owner,Petrol,Manual
12946,Honda City 1.5,Honda,360000,2011,70778,First Owner,Petrol,Manual
12947,Maruti Baleno Delta,Maruti,615000,2018,32000,First Owner,Diesel,Manual
12948,Skoda Superb Elegance,Skoda,950000,2014,32000,First Owner,Petrol,Manual
12949,Maruti Estilo LXI,Maruti,165000,2010,52028,First Owner,Petrol,Manual
12950,Maruti Swift Dzire,Maruti,495000,2016,39000,First Owner,Petrol,Manual
12951,Honda City i,Honda,620000,2015,58000,First Owner,Petrol,Manual
12952,Hyundai Verna 1.4,Hyundai,825000,2018,11500,First Owner,Petrol,Manual
12953,Maruti Alto LXi,Maruti,170000,2010,40000,First Owner,Petrol,Manual
12954,Toyota Innova Crysta,Toyota,1450000,2017,52000,First Owner,Diesel,Manual
12955,Ford Ecosport 2015-2021,Ford,580000,2016,53620,First Owner,Petrol,Manual
12957,Maruti Ciaz VDi,Maruti,550000,2015,84000,First Owner,Diesel,Manual
12958,Toyota Corolla Altis,Toyota,869999,2014,42000,First Owner,Petrol,Manual
12959,Toyota Etios G,Toyota,340000,2012,55000,First Owner,Petrol,Manual
12960,Hyundai i20 1.4,Hyundai,660000,2018,69000,First Owner,Diesel,Manual
12961,Maruti Swift Dzire,Maruti,353000,2012,48059,First Owner,Diesel,Manual
12962,Hyundai Santro Xing,Hyundai,125000,2009,63000,First Owner,Petrol,Manual
12963,Maruti Ciaz 1.4,Maruti,811000,2018,49000,First Owner,Petrol,Automatic
12964,Maruti Baleno Delta,Maruti,600000,2018,39000,First Owner,Petrol,Manual
12965,Honda Mobilio E,Honda,500000,2017,120000,First Owner,Petrol,Manual
12966,Hyundai Grand i10,Hyundai,470000,2017,46000,First Owner,Petrol,Automatic
12967,BMW 3 Series,BMW,2100000,2016,69000,First Owner,Diesel,Automatic
12968,Toyota Etios GD,Toyota,280000,2012,58360,First Owner,Diesel,Manual
12969,Maruti Ciaz ZDi,Maruti,615000,2016,52000,First Owner,Diesel,Manual
12970,Hyundai i10 Sportz,Hyundai,229999,2013,44000,First Owner,Petrol,Manual
12971,Toyota Etios Liva,Toyota,295000,2012,55000,First Owner,Petrol,Manual
12972,Volvo V40 D3,Volvo,1499000,2015,44000,First Owner,Diesel,Automatic
12973,Maruti Wagon R,Maruti,300000,2012,69000,First Owner,Petrol,Manual
12974,Toyota Innova Crysta,Toyota,1650000,2017,63000,First Owner,Diesel,Manual
12975,Maruti Swift Dzire,Maruti,600000,2017,60000,First Owner,Diesel,Automatic
12976,Mercedes-Benz CLS 250,Mercedes-Benz,4100000,2016,4800,First Owner,Diesel,Automatic
12977,BMW X1 sDrive20d,BMW,2500000,2017,22000,First Owner,Diesel,Automatic
12978,Hyundai i20 2015-2017,Hyundai,550000,2016,51334,First Owner,Petrol,Manual
12979,Hyundai i10 Sportz,Hyundai,240000,2012,50000,First Owner,Petrol,Manual
12980,Maruti Wagon R,Maruti,345000,2016,46613,First Owner,Petrol,Manual
12982,Mercedes-Benz GL-Class 220d,Mercedes-Benz,3350000,2016,40000,First Owner,Diesel,Automatic
12983,Hyundai Grand i10,Hyundai,455000,2017,21000,First Owner,Diesel,Manual
12984,Maruti Baleno Delta,Maruti,585000,2018,19000,First Owner,Petrol,Manual
12985,Hyundai Grand i10,Hyundai,540000,2015,41000,First Owner,Petrol,Automatic
12986,Toyota Etios Cross,Toyota,445000,2015,51500,First Owner,Diesel,Manual
12987,Honda City 2017-2020,Honda,200000,2008,100000,First Owner,Petrol,Manual
12988,Honda Amaze S,Honda,395000,2014,49000,First Owner,Petrol,Manual
12989,Honda Jazz 1.2,Honda,590000,2017,42000,First Owner,Petrol,Manual
12990,Maruti Baleno Zeta,Maruti,680000,2018,4000,First Owner,Petrol,Manual
12991,Toyota Etios G,Toyota,375000,2016,45000,First Owner,Petrol,Manual
12992,Toyota Etios Liva,Toyota,434999,2016,21468,First Owner,Petrol,Manual
12993,Tata Tigor 1.05,Tata,650000,2018,40000,First Owner,Diesel,Manual
12994,Maruti Ritz VXI,Maruti,295000,2013,85000,First Owner,Petrol,Manual
12995,Hyundai Grand i10,Hyundai,375000,2014,29000,First Owner,Petrol,Manual
12996,Maruti Eeco CNG,Maruti,409999,2019,28500,First Owner,CNG,Manual
12997,Mercedes-Benz C-Class C,Mercedes-Benz,1425000,2014,82000,First Owner,Diesel,Automatic
12998,Jeep Compass 1.4,Jeep,1450000,2018,34000,First Owner,Petrol,Automatic
12999,Hyundai Creta 1.6,Hyundai,890000,2016,30000,First Owner,Petrol,Manual
13000,Honda Jazz V,Honda,625000,2017,34633,First Owner,Petrol,Automatic
13001,Maruti Swift Dzire,Maruti,695000,2017,63452,First Owner,Diesel,Automatic
13003,Maruti Wagon R,Maruti,365000,2016,37208,First Owner,CNG,Manual
13004,Tata Safari Storme,Tata,675000,2015,80000,First Owner,Diesel,Manual
13005,Hyundai i20 1.2,Hyundai,595000,2018,43000,First Owner,Petrol,Manual
13006,Maruti Zen Estilo,Maruti,120000,2009,70000,First Owner,Petrol,Manual
13007,Honda City V,Honda,475000,2012,78000,First Owner,Petrol,Automatic
13008,Toyota Camry Hybrid,Toyota,1698999,2015,65000,First Owner,Petrol,Automatic
13009,Mercedes-Benz E-Class E250,Mercedes-Benz,1050000,2010,48000,First Owner,Petrol,Manual
